ID,수영장명,주소,전화번호,일일권(현재),자유수영(현재),웹사이트,일일권(실제),자유수영(실제),비고
67,프레이저 플레이스 센트럴 서울,서울특별시 중구 순화동 214 프레이저 플레이스 센트럴,,20000,20000,https://www.booking.com/hotel/kr/fraser-place-central-seoul.ko.html,,,
68,UH 스위트 더 서울,"서울특별시 중구 만리동1가 33-1 2,3,4,9,10층",,10000,8000,https://www.booking.com/hotel/kr/uh-suite-the-seoul-seoul.ko.html,,,
69,리얼스윔아카데미 덕수궁 디팰리스,서울특별시 종로구 신문로2가 171 디팰리스 스포츠클럽 B2,,10000,10000,https://learns.academy/academies/b9b9f3ca-0ee2-4dd2-a737-abdc70fc8e9a,,,
70,광화문광장,서울특별시 종로구 세종로 81-3 세종이야기,,10000,8000,https://www.sedaily.com/NewsView/29TAEO56KD,,,
71,서울YWCA스포츠센터,서울특별시 중구 명동1가 1-1,,12000,12000,https://www.google.com/maps/search/%EC%84%9C%EC%9A%B8YWCA%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%84%BC%ED%84%B0+%EC%A4%91%EA%B5%AC+%EC%9D%84%EC%A7%80%EB%A1%9C4%EA%B0%80+%EC%88%98%EC%98%81%EC%9E%A5,,,
72,오션베이비 대방센터,서울특별시 동작구 대방동 339-1 지하1층,,10000,10000,https://learns.academy/academies/9d3f063e-5f47-4dde-b681-598e6800cff4,,,
73,충무스포츠센터 수영장,서울특별시 중구 흥인동 131,,12000,12000,https://www.e-junggu.or.kr/fmcs/40,,,
74,하이풀스포츠 x 온마인드 심리상담센터 롯데몰 은평점,서울특별시 은평구 진관동 63 9층,,10000,10000,https://babygo.kr/place/27d89523-b0d0-46d2-afb9-b6ab8d9fb7db,,,
75,포이스포츠센터,서울특별시 강남구 개포동 1273 포이초등학교내 포이스포츠센터,,12000,12000,https://suwimi.com/poolinfo/poolinfoDetail?pbid=377,,,
76,불광스포렉스,서울특별시 은평구 불광동 272-2 B1층,,10000,10000,https://bams92.tistory.com/29,,,
77,넘버원수영이야기,서울특별시 관악구 신림동 1713-11 1층 넘버원수영이야기,,10000,10000,,,,
78,로얄마린 은평점,서울특별시 은평구 진관동 100-3 아이파크포레스트게이트 B217호,,10000,10000,https://learns.academy/academies/09587406-acc1-4a89-b54e-11c90b105441,,,
79,공항스포렉스,서울특별시 강서구 공항동 12-3 공항스포렉스,,10000,10000,,,,
80,슈퍼스타스위밍아카데미 마곡센터,서울특별시 강서구 마곡동 798-6 류마타워2 B1,,10000,10000,https://learns.academy/academies/e0c0b991-4269-4954-a256-dafe2506ffc1,,,
81,에스에이치스포츠아카데미,서울특별시 동작구 흑석동 10 상가A동 지하1층,,10000,10000,https://learns.academy/academies/e6ca0015-d1ff-434a-96b4-6bbcf2c4ae20,,,
82,골근위수영뷰티아카데미학원 청담,서울특별시 강남구 청담동 125-12 금원빌딩 3층,,8000,8000,https://www.weacademy2008.co.kr/cen/cen1_8.asp,,,
83,와우스포츠아카데미,서울특별시 영등포구 여의도동 42,,8000,8000,https://learns.academy/academies/fad8e96a-9eea-4de1-a91b-cfcc537b2103,,,
84,그라모스호텔,서울특별시 강남구 역삼동 677-21,,20000,20000,https://www.tripadvisor.co.kr/Hotel_Feature-g294197-d4137680-zft6217-Hotel_Grammos.html,,,
85,녹스부띠끄관광호텔,서울특별시 강남구 역삼동 677-13,,20000,20000,https://place.udanax.org/place.php?placeName=%EB%85%B9%EC%8A%A4%EB%B6%80%EB%9D%A0%EB%81%84%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94&id=953190,,,
86,비커스랩,서울특별시 강남구 역삼동 662-14 지하1층 1층 2층,,10000,10000,,,,
87,워터웍스 짐앤풀,서울특별시 강남구 신사동 663-7 지하1층,,10000,10000,http://pf.kakao.com/_NUxjfG,,,
88,우성스포츠센터,서울특별시 강남구 일원동 615 우성스포츠센터,,12000,12000,,,,
89,키즈토피아 어린이수영장,서울특별시 강동구 성내동 445-7 지하1층,,2000,2000,https://learns.academy/academies/1f0b321e-28e1-4b4d-8396-207ba4e09a8b,,,
90,고덕어울림수영장,서울특별시 강동구 고덕동 210-1 센트럴 푸르지오 지하1층,,10000,10000,https://www.igangdong.or.kr/page/ch/ch_1201.asp,,,
91,초이스바이반트,서울특별시 강동구 고덕동 353-23 아이파크 더리버 4F,,10000,8000,,,,
92,강동유소년스포츠센터,서울특별시 강동구 상일동 483,,12000,12000,https://www.igangdong.or.kr/page/ch/ch_0601.asp,,,
93,천호어울림수영장,서울특별시 강동구 천호동 422-12,,10000,10000,https://www.igangdong.or.kr/page/ch/ch_1401.asp,,,
94,광나루 한강공원 수영장,서울특별시 강동구 천호동 321,,10000,10000,https://hangang.seoul.go.kr/www/rvrPhoto/detail.do?photoSn=82&mid=490&perPageCnt=8&keyword=&opt1=&opt2=&opt3=&opt4=&opt5=&opt6=&opt7=&opt8=&opt9=&opt10=DESC&opt11=&opt12=Y&pageNo=1,,,
95,오션키즈강동점,서울특별시 강동구 명일동 304-1 지하1층 오션키즈수영장,,10000,10000,https://learns.academy/academies/d958209a-381f-404c-9444-a3357b3b211f,,,
96,강북문화예술회관수영장,서울특별시 강북구 수유동 360-10,,10000,10000,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=820,,,
97,강북종합체육센터,서울특별시 강북구 미아동 811-2 강북종합체육센터,,10000,8000,https://www.sports-island-gb.co.kr/Gangbuk/center/,,,
98,혜화여자고등학교실내수영장,서울특별시 강북구 수유동 468-43 혜화여자고등학교,,10000,10000,https://pf.kakao.com/_Hdzxmb/95029126,,,
99,화계초등학교 스포츠센터,서울특별시 강북구 미아동 127-2 서울화계초등학교,,12000,12000,,,,
100,물빛수영장,서울특별시 성북구 길음동 1286-8,,10000,10000,https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400615,,,
101,노블스위밍랩 길음점,서울특별시 성북구 길음동 1276 삼부컨비니언 아파트 102동 상가 지하1층,,10000,10000,https://learns.academy/academies/f87ed7fb-5368-4c69-95d3-2452a9149acf,,,
102,창동문화체육센터수영장,서울특별시 도봉구 창동 1-6,,10000,10000,https://yeyak.dobongsiseol.or.kr/lecture/?c_id=01&event_code=001&n_type=lecture,,,
103,머큐어 서울 마곡,서울특별시 강서구 마곡동 767,,20000,20000,https://all.accor.com/hotel/C0G5/index.ko.shtml,,,
104,SR호텔 마곡,서울특별시 강서구 등촌동 678-11,,20000,20000,https://hotel-sr.co.kr/,,,
105,아쿠아웨이브,서울특별시 강서구 화곡동 1105 미래안포레오피스텔 지하1층,,10000,10000,https://www.da-gym.co.kr/detail/676c9598a49abf001df44160,,,
106,강서구민올림픽체육센터수영장,서울특별시 강서구 등촌동 707-3,,10000,10000,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=684,,,
107,마곡레포츠센터수영장,서울특별시 강서구 마곡동 811-1,,10000,10000,https://www.gangseo.seoul.kr/munhwa/mh040203,,,
108,URBAN HOTEL GOLF 신림직영점,서울특별시 관악구 신림동 1569-5,,20000,20000,https://kr.trip.com/hotels/seoul-hotel-detail-6399671/urban-hotelplay/,,,
109,아쿠아플럭스,서울특별시 관악구 신림동 1524-3 1층 지하1층,,10000,10000,https://winner.nahuaction.kr/seoul/%EA%B4%80%EC%95%85%EA%B5%AC-%EC%88%98%EC%98%81%EC%9E%A5-5%EA%B3%B3-%ED%95%9C%EB%88%88%EC%97%90-%EB%B3%B4%EA%B8%B0/,,,
110,삼모스포렉스,서울특별시 관악구 신림동 1638-32 지하1층,,10000,8000,https://www.sammo.co.kr/sporex/swim.php,,,
111,관악구민종합체육센터,서울특별시 관악구 봉천동 225 관악구민종합체육센터,,10000,8000,https://booking.gwanakgongdan.or.kr/booking/1536,,,
112,신림체육센터수영장,서울특별시 관악구 신림동 산197-31,,10000,10000,https://www.gwanakgongdan.or.kr/booking/1542,,,
113,몬스터키즈풀,서울특별시 관악구 봉천동 1712-1 관악드림타운 상가 지하1층,,10000,10000,https://www.114.co.kr/search/detail?comp_id=2673254&comp_tp_cd=TEL&upjong_cd=892211,,,
114,삼육스포츠센터 수영장,서울특별시 관악구 봉천동 722-19 삼육외래센터,,12000,12000,https://learns.academy/academies/44acf8dc-c6e9-4000-b486-86a6f99d149a,,,
115,풀만 앰배서더 서울 이스트폴,서울특별시 광진구 자양동 870 풀만 앰배서더 서울 이스트폴,,20000,20000,https://all.accor.com/hotel/C173/index.ko.shtml,,,
116,SLP 어린이회관 야외수영장,서울특별시 광진구 능동 18-11,,2000,2000,,,,
117,뚝섬한강공원 눈썰매장,서울특별시 광진구 자양동 112 뚝섬 한강공원 수영장,,10000,8000,https://korean.visitseoul.net/area/%EB%9A%9D%EC%84%AC-%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90-%EC%88%98%EC%98%81%EC%9E%A5/KOP005750,,,
118,광진문화예술회관,서울특별시 광진구 자양동 227-344 광진문화예술회관,,10000,8000,https://booking.gwangjin.or.kr/fmcs/102?action=read&action-value=c12957df42826f1508a86ef108295670,,,
119,그랜드 워커힐 서울호텔수영장,서울특별시 광진구 광장동 22-1,,20000,20000,https://www.ktourmap.com/spotDetails.jsp?contentId=131610,,,
120,워커힐 호텔 리버파크,서울특별시 광진구 광장동 22-1,,20000,20000,https://www.walkerhill.com/grandwalkerhillseoul/activity/RiverPark,,,
121,정립회관수영장,서울특별시 광진구 구의동 16-3 정립회관,,10000,10000,http://www.jeongnip.or.kr/sub02/sub01.php,,,
122,오션키즈광진구의점,서울특별시 광진구 구의동 219-19,,10000,10000,https://learns.academy/academies/974de532-975e-45f9-9102-27cd6874d788,,,
123,찬스아이수영장,서울특별시 광진구 자양동 783-1 지하1층,,10000,10000,https://learns.academy/academies/c276540a-6138-4dea-a153-22f0cadc3c0e,,,
124,리얼스위밍스쿨,서울특별시 구로구 구로동 585-3 구로역 3번출구 북광장1층,,10000,10000,https://www.114.co.kr/search/detail?comp_id=977761&comp_tp_cd=INT&upjong_cd=892211,,,
125,궁동종합사회복지관수영장,서울특별시 구로구 궁동 108-9,,3000,3000,http://www.happykd.or.kr/sub/sub03_03.php,,,
126,혜원유치원,서울특별시 구로구 오류동 18-8 혜원유치원,,10000,8000,https://www.studyholic.com/Eduinfo/KinderView.asp?idx=2236,,,
127,아이쿠아수영장 개봉점,서울특별시 구로구 개봉동 361-1 제일프라자 지하 2층,,10000,10000,,,,
128,마스터키즈 어린이수영장 개봉점,서울특별시 구로구 개봉동 157-13 지하 1층,,2000,2000,,,,
129,50플러스수영장,서울특별시 구로구 천왕동 280-14,,10000,10000,,,,
130,서울시립구로청소년수련관수영장,서울특별시 구로구 구로동 704-12,,2500,2500,,,,
131,서울시립금천청소년센터,서울특별시 금천구 시흥동 산84-7 시립금천청소년센터,,2500,2500,,,,
132,블루라군 금천점,서울특별시 금천구 독산동 152-3 지하1층 블루라군,,10000,10000,,,,
133,시립금천청소년센터 수영장,서울특별시 금천구 시흥동 산84-7 시립금천청소년센터 지하2층 수영장,,2500,2500,,,,
134,금천구민문화체육센터수영장,서울특별시 금천구 독산동 371-2 금천구민문화체육센터,,10000,10000,,,,
135,서울시립금천청소년수련관수영장,서울특별시 금천구 시흥동 산84-7,,2500,2500,,,,
136,젤잼물놀이터,서울특별시 금천구 독산동 191-1,,10000,10000,,,,
137,PAB,서울특별시 동작구 신대방동 470-13 수도여고 내 수영장,,10000,10000,,,,
138,베베쿠아 베이비스파카페,서울특별시 노원구 중계동 506-1 건영백화점 4층,,10000,8000,,,,
139,스윔핏 노원태릉입구역점,서울특별시 노원구 공릉동 670-6 B1층,,10000,10000,,,,
140,타잔B&amp;G어린이수영장,서울특별시 노원구 중계동 359-1 중계5단지 상가 지하1층,,2000,2000,,,,
141,오션키즈 노원점,서울특별시 노원구 중계동 358-6 지하1층,,10000,10000,,,,
142,마린스포츠센터,서울특별시 노원구 하계동 256-5,,12000,12000,,,,
143,블루키즈,서울특별시 노원구 하계1동 251-7 서울온천빌딩 지하 5층,,10000,10000,,,,
144,창동문화체육센터,서울특별시 도봉구 창동 1-6 운동장 및 문화체육센터,,10000,8000,,,,
145,쌍문종합체육센터,서울특별시 도봉구 쌍문동 265,,10000,8000,,,,
146,대우스포츠센터,서울특별시 도봉구 창동 804 대우아파트상가 3층,,12000,12000,,,,
147,도봉구시설관리공단,서울특별시 도봉구 창동 320 도봉구행정지원센터,,10000,8000,,,,
148,창동문화체육센터패밀리피아,서울특별시 도봉구 창동 1-6,,10000,10000,,,,
149,도봉썸머워터랜드,서울특별시 도봉구 도봉동 628,,10000,10000,,,,
150,블루오션키즈스위밍,서울특별시 도봉구 창동 181-3 세영빌딩 지하 1층,,10000,10000,,,,
151,창동 중랑천 물놀이장,서울특별시 도봉구 창동 756-164,,10000,10000,,,,
152,오션키즈 동대문센터,서울특별시 동대문구 장안동 305-2 지하1층,,10000,10000,,,,
153,아이엠 키즈 스윔스쿨,서울특별시 동대문구 장안동 192-73 화성빌딩 B2,,10000,10000,,,,
154,코코풀,서울특별시 동대문구 전농동 295-29 지하1층,,10000,10000,,,,
155,동대문구민체육센터,서울특별시 동대문구 장안동 356 동대문구민 체육센터,,3500,3500,,,,
156,대한키즈스윔스쿨 동대문캠퍼스,서울특별시 동대문구 장안동 324-1 웰빙프라자 지하1층 대한키즈스윔스쿨 동대문캠퍼스,,10000,10000,,,,
157,시립동대문청소년센터수영장,서울특별시 동대문구 청량리동 11-1,,2500,2500,,,,
158,숭인스포츠센터,서울특별시 동대문구 답십리동 463-1,,12000,12000,,,,
159,동대문구 물놀이장,서울특별시 동대문구 전농동 산32-20 배봉산 근린공원 열린광장 물놀이장,,10000,10000,,,,
160,동작삼일수영장,서울특별시 동작구 사당동 1159-1,,10000,10000,,,,
161,오션키즈여의대방점,서울특별시 동작구 대방동 339-1 지하1층 오션키즈,,10000,10000,,,,
162,오션키즈 사당점,서울특별시 동작구 사당동 105 극동아파트 113동 상가 지하1층 전관,,10000,10000,,,,
163,동작구민체육센터수영장,서울특별시 동작구 신대방동 460-1 동작구민체육센터,,3500,3500,,,,
164,아현스포렉스 수영장,서울특별시 마포구 아현동 267-1,,10000,10000,,,,
165,월드컵스파랜드24수영장,서울특별시 마포구 성산동 515,,10000,10000,,,,
166,난지 한강공원,서울특별시 마포구 상암동 487-116 한강공원 난지안내센터,,10000,8000,,,,
167,아현스포렉스 피트니스,서울특별시 마포구 아현동 267-1,,10000,8000,,,,
168,마포아트센터수영장,서울특별시 마포구 대흥동 30-3,,10000,10000,,,,
169,소의체육문화센터,서울특별시 마포구 아현동 386-1 소의체육문화센터,,10000,10000,,,,
170,신석스포렉스,서울특별시 마포구 신수동 445-1,,10000,10000,,,,
171,월 호텔,서울특별시 서대문구 대현동 104-15 월 호텔,,20000,20000,,,,
172,아이러브키즈스윔2,서울특별시 서대문구 남가좌동 377 아파트단지내 스포츠클럽 아이러브키즈스윔2,,10000,10000,,,,
173,헬스보이짐 수영장,서울특별시 서대문구 창천동 29-81 르메이에르타운 5차 B4층,,12000,12000,,,,
174,서대문문화체육회관,서울특별시 서대문구 홍은동 산26-155 서대문문화체육회관,,10000,8000,,,,
175,DMC 센트럴아이파크 스포츠센터,서울특별시 서대문구 남가좌동 388 스포츠센터,,12000,12000,,,,
176,서대문문화체육회관실내수영장,서울특별시 서대문구 홍은동 산26-155,,10000,10000,,,,
177,삼성골드스포츠클럽,서울특별시 서대문구 남가좌동 377,,10000,10000,,,,
178,박가부대 양재점,서울특별시 서초구 양재동 326-10 1층,,10000,8000,,,,
179,잠원 한강공원 수영장,서울특별시 서초구 잠원동 121,,10000,10000,,,,
180,서리풀어린이수영,서울특별시 서초구 방배동 1024-6 삼원빌딩 지하1층 30POOOL,,2000,2000,,,,
181,잠원 한강공원,서울특별시 서초구 잠원동,,10000,8000,,,,
182,한전아트센터 스포츠클럽,서울특별시 서초구 서초동 1355 2층~3층 한전아트센터스포츠클럽,,10000,8000,,,,
183,신동교육문화회관,서울특별시 서초구 잠원동 54-6 신동교육문화회관,,10000,10000,,,,
184,미라클스위밍클럽,서울특별시 서초구 양재동 24 스포타임,,10000,10000,,,,
185,신사스포츠센터,서울특별시 서초구 잠원동 50-6,,12000,12000,,,,
186,블루라군 성동점,서울특별시 성동구 행당동 147 지하1층 블루라군,,10000,10000,,,,
187,짐앤풀,서울특별시 성동구 금호동1가 1558 1층,,10000,10000,,,,
188,성동구민종합체육센터수영장,서울특별시 성동구 성수동1가 685-697,,10000,10000,,,,
189,성동구민종합체육센터,서울특별시 성동구 성수동1가 685-697,,10000,8000,,,,
190,옥정교육문화관,서울특별시 성동구 옥수동 233-16,,10000,8000,,,,
191,성동청소년수련관수영장,서울특별시 성동구 행당동 7,,2500,2500,,,,
192,비오비어린이수영장,서울특별시 성북구 종암동 3-1237 104호,,2000,2000,,,,
193,아쿠아마린키즈스윔 길음점,서울특별시 성북구 길음동 518-13 선일빌딩,,10000,10000,,,,
194,M모텔,서울특별시 성북구 동선동4가 101 성신여대역 M,,10000,8000,,,,
195,키즈더웨이브 성북길음비치점,서울특별시 성북구 길음동 25-7 4층,,10000,8000,,,,
